Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
NA,Expt 2,Group,NS.fcs,NS,Experiment,None,N/A,All Events,N/A,N/A,46748,2,23374,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,Expt 2,Group,NS.fcs,NS,Experiment,None,,R1,BL1-H,YL1-H,35975,2,17987.5,76.955,76.955,293,126,203,111,157,96,338.43,93.73,115.6,74.19,130.47,54.86,64.27,49.42
NA,Expt 2,Group,NS.fcs,NS,Experiment,None,,R1,FSC-H,SSC-H,35975,2,17987.5,76.955,76.955,10070,716,5337,445,3579,232,17788.37,1307.55,176.65,182.51,4326.23,290.59,81.06,65.3
NA,Expt 2,Group,NS.fcs,NS,Experiment,None,,R1,YL1-H,,35975,2,17987.5,76.955,76.955,126,N/A,111,N/A,96,N/A,93.73,N/A,74.19,N/A,54.86,N/A,49.42,N/A
NA,Expt 2,Group,NS.fcs,NS,Experiment,None,,R7,BL1-H,,1261,2,630.5,2.697,3.505,1521,N/A,1197,N/A,902,N/A,964.01,N/A,63.38,N/A,351.38,N/A,29.35,N/A
NA,Expt 2,Group,NS.fcs,NS,Experiment,None,,R1,BL1-H,,35975,2,17987.5,76.955,76.955,293,N/A,203,N/A,157,N/A,338.43,N/A,115.6,N/A,130.47,N/A,64.27,N/A
NA,Expt 2,Group,NS.fcs,NS,Experiment,None,,R1,BL1-H,SSC-H,35975,2,17987.5,76.955,76.955,293,716,203,445,157,232,338.43,1307.55,115.6,182.51,130.47,290.59,64.27,65.3
NA,Expt 2,Group,NS.fcs,NS,Experiment,None,,R2,BL1-H,YL1-H,6,2,3,0.013,0.017,1993,1424,1794,1363,1320,1160,742.85,402.46,37.27,28.26,642.71,351.38,35.83,25.79
NA,Expt 2,Group,NS.fcs,NS,Experiment,None,,syto+pe-,BL1-H,YL1-H,25,2,12.5,0.053,0.069,1304,123,886,70,741,56,966.04,132.58,74.1,107.93,250.56,28.17,28.28,40.24
NA,Expt 2,Group,NS.fcs,NS,Experiment,None,,syto+pe+,BL1-H,YL1-H,6,2,3,0.013,0.017,9739,2835,8959,2735,6001,1848,3496.9,851.08,35.9,30.02,3914.06,1013.36,43.69,37.05
NA,Expt 2,Group,NS.fcs,NS,Experiment,None,,R1,BL1-H,YL1-H,35975,2,17987.5,76.955,76.955,293,126,203,111,157,96,338.43,93.73,115.6,74.19,130.47,54.86,64.27,49.42
NA,Expt 2,Group,NS.fcs,NS,Experiment,None,,R3,FSC-H,SSC-H,1260,2,630,2.695,99.921,71441,3529,52669,1965,25144,1485,54195.25,4869.28,75.86,138,38524.62,1326.93,73.15,67.55
NA,Expt 2,Group,NS.fcs,NS,Experiment,None,,R7,FSC-H,SSC-H,1261,2,630.5,2.697,2.697,71544,3567,52680,1971,25144,1485,54297.12,5060.01,75.89,141.84,38676.59,1329.89,73.42,67.47
NA,Expt 2,Group,NS.fcs,NS,Experiment,None,,R5,BL1-H,YL1-H,0,2,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,Expt 2,Group,NS.fcs,NS,Experiment,None,,R1,BL1-H,YL1-H,35975,2,17987.5,76.955,76.955,293,126,203,111,157,96,338.43,93.73,115.6,74.19,130.47,54.86,64.27,49.42
NA,Expt 2,Group,PE.fcs,PE,Experiment,None,N/A,All Events,N/A,N/A,168756,4,42189,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,Expt 2,Group,PE.fcs,PE,Experiment,None,,R1,BL1-H,YL1-H,100000,4,25000,59.257,59.257,288,202,191,107,157,96,355.23,1011.01,123.3,500.01,126.02,54.86,65.98,51.27
NA,Expt 2,Group,PE.fcs,PE,Experiment,None,,R1,FSC-H,SSC-H,100000,4,25000,59.257,59.257,9298,730,4642,451,3730,309,17490.31,1281.13,188.11,175.6,3586.41,299.49,77.26,66.4
NA,Expt 2,Group,PE.fcs,PE,Experiment,None,,R1,YL1-H,,100000,4,25000,59.257,59.257,202,N/A,107,N/A,96,N/A,1011.01,N/A,500.01,N/A,54.86,N/A,51.27,N/A
NA,Expt 2,Group,PE.fcs,PE,Experiment,None,,R7,BL1-H,,3828,4,957,2.268,3.828,1533,N/A,1185,N/A,925,N/A,977.97,N/A,63.81,N/A,333.58,N/A,28.15,N/A
NA,Expt 2,Group,PE.fcs,PE,Experiment,None,,R1,BL1-H,,100000,4,25000,59.257,59.257,288,N/A,191,N/A,157,N/A,355.23,N/A,123.3,N/A,126.02,N/A,65.98,N/A
NA,Expt 2,Group,PE.fcs,PE,Experiment,None,,R1,BL1-H,SSC-H,100000,4,25000,59.257,59.257,288,730,191,451,157,309,355.23,1281.13,123.3,175.6,126.02,299.49,65.98,66.4
NA,Expt 2,Group,PE.fcs,PE,Experiment,None,,R2,BL1-H,YL1-H,1433,4,358.25,0.849,1.433,443,5519,331,4537,206,4900,455,6478.38,102.8,117.39,191.26,2330.65,57.78,51.37
NA,Expt 2,Group,PE.fcs,PE,Experiment,None,,syto+pe-,BL1-H,YL1-H,66,4,16.5,0.039,0.066,1060,90,872,68,1031,42,575.47,80.45,54.29,89.72,203.12,31.13,23.31,46.13
NA,Expt 2,Group,PE.fcs,PE,Experiment,None,,syto+pe+,BL1-H,YL1-H,19,4,4.75,0.011,0.019,8859,2486,7613,1945,5104,1542,4064.59,1416.78,45.88,56.99,2120.12,425.51,27.85,21.88
NA,Expt 2,Group,PE.fcs,PE,Experiment,None,,R1,BL1-H,YL1-H,100000,4,25000,59.257,59.257,288,202,191,107,157,96,355.23,1011.01,123.3,500.01,126.02,54.86,65.98,51.27
NA,Expt 2,Group,PE.fcs,PE,Experiment,None,,R3,FSC-H,SSC-H,3827,4,956.75,2.268,99.974,66123,3333,43574,1962,28812,1566,52891.05,4220,79.99,126.6,30334,1060.06,69.61,54.03
NA,Expt 2,Group,PE.fcs,PE,Experiment,None,,R7,FSC-H,SSC-H,3828,4,957,2.268,2.268,66106,3337,43462,1962,28812,1566,52893.98,4225.16,80.01,126.62,30277.66,1060.06,69.66,54.03
NA,Expt 2,Group,PE.fcs,PE,Experiment,None,,R5,BL1-H,YL1-H,1,4,0.25,0.001,0.001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,Expt 2,Group,PE.fcs,PE,Experiment,None,,R1,BL1-H,YL1-H,100000,4,25000,59.257,59.257,288,202,191,107,157,96,355.23,1011.01,123.3,500.01,126.02,54.86,65.98,51.27
NA,Expt 2,Group,SYTOX.fcs,SYTOX,Experiment,None,N/A,All Events,N/A,N/A,170488,4,42622,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,Expt 2,Group,SYTOX.fcs,SYTOX,Experiment,None,,R1,BL1-H,YL1-H,100000,4,25000,58.655,58.655,4905,122,3368,103,4760,86,10596.25,127.69,216.02,104.59,3079.36,51.89,91.43,50.38
NA,Expt 2,Group,SYTOX.fcs,SYTOX,Experiment,None,,R1,FSC-H,SSC-H,100000,4,25000,58.655,58.655,8932,733,4204,440,3169,309,17742.73,1350.53,198.64,184.29,3189.81,286.14,75.88,65.03
NA,Expt 2,Group,SYTOX.fcs,SYTOX,Experiment,None,,R1,YL1-H,,100000,4,25000,58.655,58.655,122,N/A,103,N/A,86,N/A,127.69,N/A,104.59,N/A,51.89,N/A,50.38,N/A
NA,Expt 2,Group,SYTOX.fcs,SYTOX,Experiment,None,,R7,BL1-H,,83058,4,20764.5,48.718,83.058,5395,N/A,4059,N/A,4760,N/A,4647.3,N/A,86.14,N/A,2825.84,N/A,69.62,N/A
NA,Expt 2,Group,SYTOX.fcs,SYTOX,Experiment,None,,R1,BL1-H,,100000,4,25000,58.655,58.655,4905,N/A,3368,N/A,4760,N/A,10596.25,N/A,216.02,N/A,3079.36,N/A,91.43,N/A
NA,Expt 2,Group,SYTOX.fcs,SYTOX,Experiment,None,,R1,BL1-H,SSC-H,100000,4,25000,58.655,58.655,4905,733,3368,440,4760,309,10596.25,1350.53,216.02,184.29,3079.36,286.14,91.43,65.03
NA,Expt 2,Group,SYTOX.fcs,SYTOX,Experiment,None,,R2,BL1-H,YL1-H,19,4,4.75,0.011,0.019,2712,4496,2489,4476,4532,3775,1444.57,2193.59,53.26,48.79,1813.22,1487.05,72.85,33.22
NA,Expt 2,Group,SYTOX.fcs,SYTOX,Experiment,None,,syto+pe-,BL1-H,YL1-H,81540,4,20385,47.827,81.54,5853,125,4140,106,4760,86,10943.48,91.04,186.98,72.92,2828.8,53.37,68.33,50.35
NA,Expt 2,Group,SYTOX.fcs,SYTOX,Experiment,None,,syto+pe+,BL1-H,YL1-H,64,4,16,0.038,0.064,59231,1974,39613,1409,36168,1201,71455.77,1808.92,120.64,91.65,20256.76,233.51,51.14,16.58
NA,Expt 2,Group,SYTOX.fcs,SYTOX,Experiment,None,,R1,BL1-H,YL1-H,100000,4,25000,58.655,58.655,4905,122,3368,103,4760,86,10596.25,127.69,216.02,104.59,3079.36,51.89,91.43,50.38
NA,Expt 2,Group,SYTOX.fcs,SYTOX,Experiment,None,,R3,FSC-H,SSC-H,80302,4,20075.5,47.101,96.682,10068,787,4992,484,3169,483,18283.58,1345.42,181.59,171.06,3712.43,308.38,74.37,63.72
NA,Expt 2,Group,SYTOX.fcs,SYTOX,Experiment,None,,R7,FSC-H,SSC-H,83058,4,20764.5,48.718,48.718,9769,772,4809,473,3169,483,18085.59,1350.52,185.14,175.05,3683.52,302.45,76.6,63.94
NA,Expt 2,Group,SYTOX.fcs,SYTOX,Experiment,None,,R5,BL1-H,YL1-H,2,4,0.5,0.001,0.002,40077,5007,40077,5007,21055,2825,26901.17,3085.81,67.12,61.63,28202.02,3235.03,70.37,64.61
NA,Expt 2,Group,SYTOX.fcs,SYTOX,Experiment,None,,R1,BL1-H,YL1-H,100000,4,25000,58.655,58.655,4905,122,3368,103,4760,86,10596.25,127.69,216.02,104.59,3079.36,51.89,91.43,50.38
NA,Expt 2,Group,Sample 1.fcs,Sample 1,Experiment,None,N/A,All Events,N/A,N/A,375718,7,53674,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,Expt 2,Group,Sample 1.fcs,Sample 1,Experiment,None,,R1,BL1-H,YL1-H,257751,7,36821.571,68.602,68.602,5430,242,3713,110,4826,96,11591.42,909.51,213.46,376.44,2969.65,57.82,79.98,52.56
NA,Expt 2,Group,Sample 1.fcs,Sample 1,Experiment,None,,R1,FSC-H,SSC-H,257751,7,36821.571,68.602,68.602,9543,767,4636,459,3732,374,17792.98,1385.06,186.46,180.66,3450.01,314.31,74.42,68.48
NA,Expt 2,Group,Sample 1.fcs,Sample 1,Experiment,None,,R1,YL1-H,,257751,7,36821.571,68.602,68.602,242,N/A,110,N/A,96,N/A,909.51,N/A,376.44,N/A,57.82,N/A,52.56,N/A
NA,Expt 2,Group,Sample 1.fcs,Sample 1,Experiment,None,,R7,BL1-H,,227139,7,32448.429,60.455,88.123,5569,N/A,4168,N/A,4826,N/A,4784.56,N/A,85.91,N/A,2811.01,N/A,67.44,N/A
NA,Expt 2,Group,Sample 1.fcs,Sample 1,Experiment,None,,R1,BL1-H,,257751,7,36821.571,68.602,68.602,5430,N/A,3713,N/A,4826,N/A,11591.42,N/A,213.46,N/A,2969.65,N/A,79.98,N/A
NA,Expt 2,Group,Sample 1.fcs,Sample 1,Experiment,None,,R1,BL1-H,SSC-H,257751,7,36821.571,68.602,68.602,5430,767,3713,459,4826,374,11591.42,1385.06,213.46,180.66,2969.65,314.31,79.98,68.48
NA,Expt 2,Group,Sample 1.fcs,Sample 1,Experiment,None,,R2,BL1-H,YL1-H,3250,7,464.286,0.865,1.261,3148,4067,3340,3782,3442,3727,1187.34,1794.5,37.72,44.12,1162.36,1445.53,34.8,38.22
NA,Expt 2,Group,Sample 1.fcs,Sample 1,Experiment,None,,syto+pe-,BL1-H,YL1-H,216908,7,30986.857,57.732,84.154,6118,130,4234,110,4826,93,12063.09,95.3,197.16,73.29,2813.97,56.34,66.46,51.22
